Longitude,Latitude,Elevation (m),Altitude (m),Clutter height (m),Distance (m),PathLoss(db),PathLoss_binned
0.936181310157508,0.8198351983746761,0.3000000000000007,0.7142857142857135,1.0,0.045977011494252866,139,0.0
0.9348849288762153,0.8198237776846327,0.3000000000000007,0.7142857142857135,1.0,0.04686118479221927,139,0.0
0.9335884035525623,0.8198124637300452,0.3000000000000007,0.7142857142857135,1.0,0.04774535809018567,143,1.0
0.9322920222712696,0.8198010430398881,0.3000000000000007,0.7142857142857135,1.0,0.04862953138815207,143,1.0
0.9309954969476166,0.8197896223498446,0.3000000000000007,0.7142857142857135,1.0,0.04951370468611847,146,2.0
0.9296991156662671,0.8197782016598012,0.3000000000000007,0.7142857142857135,1.0,0.05039787798408488,146,2.0
0.9284181469179771,0.8188062689129083,0.3000000000000007,0.7142857142857135,1.0,0.05128205128205128,144,1.0
0.9271216215943241,0.8187948482227512,0.3000000000000007,0.7142857142857135,1.0,0.05216622458001768,140,0.0
0.9258252403130314,0.8187834275327077,0.3000000000000007,0.7142857142857135,1.0,0.05305039787798408,140,0.0
0.9245287149893784,0.8187720068426643,0.3000000000000007,0.7142857142857135,1.0,0.053934571175950484,143,1.0
0.9232323337081425,0.8187605861525071,0.3000000000000007,0.7142857142857135,1.0,0.053934571175950484,143,1.0
0.9219512209174923,0.8177886534056142,0.3000000000000007,0.7142857142857135,1.0,0.05481874447391688,143,1.0
0.9193583143125466,0.8177658120255273,0.3000000000000007,0.7142857142857135,1.0,0.05658709106984969,142,1.0
0.9180619330312538,0.8177543913353702,0.3000000000000007,0.7142857142857135,1.0,0.057471264367816084,142,1.0
0.9180773455642566,0.8167938792786344,0.3000000000000007,0.7142857142857135,1.0,0.057471264367816084,140,0.0
0.9167808202406036,0.8167825653239333,0.3000000000000007,0.7142857142857135,1.0,0.05835543766578249,140,0.0
0.9154998514923136,0.8158106325770405,0.3000000000000007,0.7142857142857135,1.0,0.05835543766578249,144,1.0
0.9154998514923136,0.8158106325770405,0.3000000000000007,0.5714285714285712,1.0,0.05835543766578249,143,1.0
0.9142188827440236,0.8148386998302612,0.3000000000000007,0.5714285714285712,1.0,0.05923961096374889,143,1.0
0.9129377699533734,0.8138667670833684,0.20000000000000018,0.5714285714285712,1.0,0.06012378426171529,136,0.0
0.9116568012051403,0.8128948343364755,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,139,0.0
0.911672213738143,0.8119343222797397,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,139,0.0
0.9116876262711457,0.8109739169583463,0.20000000000000018,0.5714285714285712,1.0,0.06012378426171529,142,1.0
0.9117030388041485,0.8100134049014969,0.20000000000000018,0.5714285714285712,1.0,0.06012378426171529,136,0.0
0.9104219260134983,0.809041472154604,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,136,0.0
0.910437338546501,0.8080809600979819,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,138,0.0
0.9104527510795037,0.8071204480411325,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,144,1.0
0.9104681636125065,0.806159935984283,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,144,1.0
0.9104835761455092,0.8051994239275473,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,148,4.0
